imgurl,title,author,description,price,gender,isbn,year,pages,ratio,editorial
elrevesdelcirculodebabel,El revés del círculo de Babel,Eduardo Borrero,"Esta novela presenta a un grupo de jóvenes adolescentes que estudian en una escuela dirigida por sacerdotes que los mantienen reprimidos. Los adolescentes, fascinados por el cine, escapan para ver a sus ídolos femeninos y así vivir aventuras, pero deben enfrentarse a una sociedad restrictiva y castradora. La historia comienza con el protagonista en coma, lo que nos permite adentrarnos en su pasado y conocer más acerca de su lucha contra esta sociedad opresiva.",40,Poesía,9786124289637,2021,167,14:21,Vicio Perpetuo Vicio Perfecto
eurekateatro,Eureka Teatro,Ruth Vásquez García,"Este libro incluye cuatro entremeses que deleitarán al lector con lo mejor de la literatura. Apropiado para todas las edades, podremos disfrutar de 'El Gallinazo sin Plumas', 'Rosita' y 'Las Mariposas.'",20,Dramaturgia,9786124289637,2014,60,14:10,Vicio Perpetuo Vicio Perfecto
fuegodeceniza,Fuego de ceniza,Ginger Santiago,"Estos poemas son cortos y tienen un tono romántico y erótico, en los que la poeta lleva al 'yo poético' a través de relaciones estables con su ser amado.",20,Poesía,9786124289637,2020,80,14:21,Vicio Perpetuo Vicio Perfecto
generacionbicentenario,Generación Bicentenario,Antología latinoamericana de microrelato,Esta antología del microcuento latinoamericano presenta 42 autores y su magia en la literatura breve.,20,Cuento,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
gotasobrepiedra,Gota sobre piedra,César Monge Durá,"Este libro es una colección de poemas que abordan las vivencias más significativas del autor, y además cuenta con una sección dedicada a haikus que evocan una larga tradición.",20,Poesía,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
lacomarcayotrosrelatos,La comarca y otros relatos,Manuel Arboccó de los Heros,"Este libro está compuesto por 27 relatos, la mayoría de ellos breves, que se inspiran en Ribera y tienen un tratamiento psicológico similar al de Dostoievski. Además, hay un relato que rinde homenaje a 'La calle Morgue' de Poe.",35,Narrativa,9786124289637,2021,60,14:21,Vicio Perpetuo Vicio Perfecto
lacuarentena,La cuarentena,Colección Bicentenario,"Esta antología recoge los mejores microcuentos del país. Contiene varias temáticas en un solo libro, como el amor, el suspenso, el terror, lo histórico, lo ecológico, las anécdotas, los cuentos moralizantes, etc.",10,Cuento,9786124289637,2020,110,14:21,Vicio Perpetuo Vicio Perfecto
laluchaporlaansiadalibertad,La lucha por la ansiada libertad,Eduardo Ángel Benavides Parra,"Este libro contiene una colección de nueve ensayos que abordan temas como las libertades individuales, el narcotráfico, el terrorismo, las pandillas juveniles, el neoliberalismo y la libertad de trabajo, entre otros.",40,Narrativa,9786124289637,2022,108,14:21,Vicio Perpetuo Vicio Perfecto
lanuevaola,La nueva ola,Colección Bicentenario,Libro con más de 30 autores desde la generación del 60 hasta la generación del 2010 tiene varios registros narrativos.,30,Narrativa,9786124289637,2021,160,14:21,Vicio Perpetuo Vicio Perfecto
laotraorilla,La otra orilla,Antología de cuento hispanoamericano,Este libro de cuentos incluye a varios autores con temáticas variadas. Reúne 34 relatos de autores que desarrollan un universo casi ilimitado en sus propuestas.,20,Cuento,9786124289637,2021,138,14:21,Vicio Perpetuo Vicio Perfecto
